series,m,n,algorithm,seed,elapsed_s,raw_fitness,fitness_display,potency,operativeness,resource_saving,max_k,constraint_satisfied,has_layout,raw_fitness_s0,potency_s0,operativeness_s0,resource_saving_s0,delta_f_vs_s0,delta_p_vs_s0,delta_o_vs_s0,delta_r_vs_s0,brute_force_available,omega_size,delta_f_vs_brute_force
feasible,5,1,NSGA-II,1,2.4407282800020766,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,BruteForce,1,0.008970868999313097,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,GA,1,0.5641682140048943,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,HillClimb,1,0.022109202996944077,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,PSO,1,0.9162858120034798,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Random,1,0.12608529600402107,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Greedy,1,0.009027460997458547,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,SA,1,0.18984005600214005,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,Tabu,1,0.48245081099594245,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
feasible,5,1,ACO,1,0.7856609420050518,0.031819591230794884,0.031819591230794884,0.07504292977583424,0.014252877462800104,0.006162966453750318,5,True,True,0.024599421648342126,0.03595807051758724,0.007363986689113387,0.030476207738325756,0.007220169582452758,0.039084859258247,0.006888890773686717,-0.02431324128457544,True,16,0.0
